Time,GeoType,GeoID,GeoRank,Geography,"Average annual rate per 10,000",Number
2014-2016,NTA2010,8522,8,West New Brighton-New Brighton-St. George,277.3,193
2014-2016,NTA2010,8524,8,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,58.2,26
2014-2016,NTA2010,8525,8,Oakwood-Oakwood Beach,60.2,19
2014-2016,NTA2010,8528,8,Port Richmond,123.9,51
2014-2016,NTA2010,8532,8,Rossville-Woodrow,42.1,15
2014-2016,NTA2010,8535,8,New Brighton-Silver Lake,106.8,37
2014-2016,NTA2010,8536,8,Old Town-Dongan Hills-South Beach,71.4,28
2014-2016,NTA2010,8537,8,Stapleton-Rosebank,233.1,121
2014-2016,NTA2010,8545,8,New Dorp-Midland Beach,54.9,19
2014-2016,NTA2010,8548,8,Arden Heights,56.9,26
2014-2016,NTA2010,8554,8,Great Kills,50.5,35
2014-2016,Borough,1,1,Bronx,640.2,"20,779"
2014-2016,Borough,2,1,Brooklyn,239.0,"14,056"
2014-2016,Borough,3,1,Manhattan,284.9,"7,063"
2014-2016,Borough,4,1,Queens,193.0,"8,433"
2014-2016,Borough,5,1,Staten Island,135.4,"1,115"
2014-2016,Citywide,1,0,New York City,306.2,"51,446"
