Time,GeoType,GeoID,GeoRank,Geography,"Average annual age-adjusted rate per 10,000",Average annual number,"Average annual rate per 10,000"
2012-2014,NTA2010,8505,8,New Springville-Bloomfield-Travis,46.3,141,44.7
2012-2014,NTA2010,8507,8,Westerleigh,47.8,88,46.5
2012-2014,NTA2010,8508,8,Grymes Hill-Clifton-Fox Hills,107.9,178,104.6
2012-2014,NTA2010,8511,8,Charleston-Richmond Valley-Tottenville,35.7,64,34.7
2012-2014,NTA2010,8512,8,Mariner's Harbor-Arlington-Port Ivory-Graniteville,160.4,349,161.8
2012-2014,NTA2010,8514,8,Grasmere-Arrochar-Ft. Wadsworth,94.7,113,89.2
2012-2014,NTA2010,8522,8,West New Brighton-New Brighton-St. George,207.6,504,209.2
2012-2014,NTA2010,8524,8,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,31.8,79,30.0
2012-2014,NTA2010,8525,8,Oakwood-Oakwood Beach,49.4,80,46.3
2012-2014,NTA2010,8528,8,Port Richmond,112.2,166,113.0
2012-2014,NTA2010,8532,8,Rossville-Woodrow,34.3,52,32.3
2012-2014,NTA2010,8535,8,New Brighton-Silver Lake,89.0,119,84.5
2012-2014,NTA2010,8536,8,Old Town-Dongan Hills-South Beach,58.0,112,55.8
2012-2014,NTA2010,8537,8,Stapleton-Rosebank,171.1,337,169.4
2012-2014,NTA2010,8545,8,New Dorp-Midland Beach,51.4,84,49.8
2012-2014,NTA2010,8548,8,Arden Heights,39.7,78,37.9
2012-2014,NTA2010,8554,8,Great Kills,32.7,105,30.1
2012-2014,Borough,1,1,Bronx,222.4,"23,769",221.7
2012-2014,Borough,2,1,Brooklyn,124.0,"24,572",122.4
2012-2014,Borough,3,1,Manhattan,105.8,"14,139",101.3
2012-2014,Borough,4,1,Queens,61.9,"11,301",61.3
2012-2014,Borough,5,1,Staten Island,77.7,"2,773",75.3
2012-2014,Citywide,1,0,New York City,115.6,"76,554",114.5
